id,name,lat,lng,category,is_rest,is_bar,peak_sun_pct,sun_hours_full_sun,sun_total_index,has_description,slug,url
"240","Café Reynders","52.3646634","4.882987099999999","restaurant","true","false","100","7","1416","false","cafe-reynders-240","https://seatsinthesun.com/terras/amsterdam/cafe-reynders-240/"
"574","Het Punt","52.3909493","4.878463099999999","restaurant","true","false","98","4.5","1416","false","het-punt-574","https://seatsinthesun.com/terras/amsterdam/het-punt-574/"
"618","Kitchen & Bar Van Rijn B.V.","52.3663868","4.8968538","restaurant","true","false","71","0","1415","false","kitchen-bar-van-rijn-b.v.-618","https://seatsinthesun.com/terras/amsterdam/kitchen-bar-van-rijn-b.v.-618/"
"503","The Magpie","52.34950829999999","4.848912599999999","restaurant_and_bar","true","true","100","5.5","1412","false","the-magpie-503","https://seatsinthesun.com/terras/amsterdam/the-magpie-503/"
"6752","GAYO restaurant en bar","52.37342839999999","4.889386399999999","restaurant","true","false","99","5","1412","false","gayo-restaurant-en-bar-6752","https://seatsinthesun.com/terras/amsterdam/gayo-restaurant-en-bar-6752/"
"6066","Le French Café - Admiraal de Ruijterweg","52.3701322","4.864480500000002","restaurant","true","false","100","6","1411","false","le-french-cafe-admiraal-de-ruijterweg-6066","https://seatsinthesun.com/terras/amsterdam/le-french-cafe-admiraal-de-ruijterweg-6066/"
"7431","Cruquius Docks","52.3700403","4.9550477","other","false","false","100","6.5","1409","false","cruquius-docks-7431","https://seatsinthesun.com/terras/amsterdam/cruquius-docks-7431/"
"16","PAMELA","52.3659867","4.8718773","bar","false","true","100","5.5","1406","false","pamela-16","https://seatsinthesun.com/terras/amsterdam/pamela-16/"
"6756","Leo | Bistro Amsterdam","52.35691749999999","4.917846599999999","restaurant","true","false","100","5.5","1406","false","leo-or-bistro-amsterdam-6756","https://seatsinthesun.com/terras/amsterdam/leo-or-bistro-amsterdam-6756/"
"92","Café L'Affiche","52.36659540000001","4.874690200000001","restaurant","true","false","100","7","1404","false","cafe-laffiche-92","https://seatsinthesun.com/terras/amsterdam/cafe-laffiche-92/"
"1421","Café Sonneveld","52.3763328","4.8822859","restaurant_and_bar","true","true","100","3","1401","false","cafe-sonneveld-1421","https://seatsinthesun.com/terras/amsterdam/cafe-sonneveld-1421/"
"5247","Cafe Restaurant Metro","52.3912196","4.9043902","restaurant","true","false","100","6","1397","false","cafe-restaurant-metro-5247","https://seatsinthesun.com/terras/amsterdam/cafe-restaurant-metro-5247/"
"1253","Bar Bouche","52.3560243","4.911892800000001","restaurant_and_bar","true","true","93","6.5","1396","false","bar-bouche-1253","https://seatsinthesun.com/terras/amsterdam/bar-bouche-1253/"
"356","Café Mokum","52.36458279999999","4.882379499999999","restaurant_and_bar","true","true","100","7","1396","false","cafe-mokum-356","https://seatsinthesun.com/terras/amsterdam/cafe-mokum-356/"
