name,slug,id,url,lat,lng,top50_rank
"'t Blaauwhooft","t-blaauwhooft-226","226","https://seatsinthesun.com/terras/amsterdam/t-blaauwhooft-226/","","",""
"Brasserie De Joffers","brasserie-de-joffers-229","229","https://seatsinthesun.com/terras/amsterdam/brasserie-de-joffers-229/","","",""
"Mulligans Irish Music Bar","mulligans-irish-music-bar-230","230","https://seatsinthesun.com/terras/amsterdam/mulligans-irish-music-bar-230/","","",""
"De Belhamel","de-belhamel-231","231","https://seatsinthesun.com/terras/amsterdam/de-belhamel-231/","","",""
"De Staalmeesters B.V.","de-staalmeesters-b.v.-233","233","https://seatsinthesun.com/terras/amsterdam/de-staalmeesters-b.v.-233/","","",""
"De Engelbewaarder","de-engelbewaarder-234","234","https://seatsinthesun.com/terras/amsterdam/de-engelbewaarder-234/","","",""
"Cafe Hole in the wall","cafe-hole-in-the-wall-235","235","https://seatsinthesun.com/terras/amsterdam/cafe-hole-in-the-wall-235/","","",""
"Dan Murphy's","dan-murphys-236","236","https://seatsinthesun.com/terras/amsterdam/dan-murphys-236/","","",""
"Hard Rock Cafe Amsterdam","hard-rock-cafe-amsterdam-237","237","https://seatsinthesun.com/terras/amsterdam/hard-rock-cafe-amsterdam-237/","","",""
"Hoopman","hoopman-239","239","https://seatsinthesun.com/terras/amsterdam/hoopman-239/","","",""
"Café Reynders","cafe-reynders-240","240","https://seatsinthesun.com/terras/amsterdam/cafe-reynders-240/","","",""
"Mayur Indian/Indiaas Restaurant","mayur-indianindiaas-restaurant-241","241","https://seatsinthesun.com/terras/amsterdam/mayur-indianindiaas-restaurant-241/","","",""
"Ristorante Pizzeria Piccolino","ristorante-pizzeria-piccolino-242","242","https://seatsinthesun.com/terras/amsterdam/ristorante-pizzeria-piccolino-242/","","",""
"De Smoeshaan","de-smoeshaan-243","243","https://seatsinthesun.com/terras/amsterdam/de-smoeshaan-243/","","",""
"Aran Irish Pub","aran-irish-pub-244","244","https://seatsinthesun.com/terras/amsterdam/aran-irish-pub-244/","","",""
"Humphrey's","humphreys-247","247","https://seatsinthesun.com/terras/amsterdam/humphreys-247/","","",""
"Sapore Italiano","sapore-italiano-248","248","https://seatsinthesun.com/terras/amsterdam/sapore-italiano-248/","","",""
"Gewaeght Café","gewaeght-cafe-249","249","https://seatsinthesun.com/terras/amsterdam/gewaeght-cafe-249/","","",""
"Café Bern","cafe-bern-251","251","https://seatsinthesun.com/terras/amsterdam/cafe-bern-251/","","",""
"Sea Palace Restaurant","sea-palace-restaurant-252","252","https://seatsinthesun.com/terras/amsterdam/sea-palace-restaurant-252/","","",""
"Waag","waag-253","253","https://seatsinthesun.com/terras/amsterdam/waag-253/","","",""
"Café De Zon","cafe-de-zon-254","254","https://seatsinthesun.com/terras/amsterdam/cafe-de-zon-254/","","",""
"Moeders","moeders-256","256","https://seatsinthesun.com/terras/amsterdam/moeders-256/","","",""
"St. James's Gate","st.-jamess-gate-257","257","https://seatsinthesun.com/terras/amsterdam/st.-jamess-gate-257/","","",""
"Schumich Café","schumich-cafe-258","258","https://seatsinthesun.com/terras/amsterdam/schumich-cafe-258/","","",""
"Bangkok","bangkok-260","260","https://seatsinthesun.com/terras/amsterdam/bangkok-260/","","",""
"De Spiegel","de-spiegel-261","261","https://seatsinthesun.com/terras/amsterdam/de-spiegel-261/","","",""
"Cafe Tisfris","cafe-tisfris-262","262","https://seatsinthesun.com/terras/amsterdam/cafe-tisfris-262/","","",""
"Kantjil & De Tijger","kantjil-de-tijger-263","263","https://seatsinthesun.com/terras/amsterdam/kantjil-de-tijger-263/","","",""
"Cafe Schuim","cafe-schuim-264","264","https://seatsinthesun.com/terras/amsterdam/cafe-schuim-264/","","",""
"La Madonnina","la-madonnina-265","265","https://seatsinthesun.com/terras/amsterdam/la-madonnina-265/","","",""
"O'reillys Irish Pub","oreillys-irish-pub-266","266","https://seatsinthesun.com/terras/amsterdam/oreillys-irish-pub-266/","","",""
"Burger Bistro","burger-bistro-267","267","https://seatsinthesun.com/terras/amsterdam/burger-bistro-267/","","",""
"The Bulldog Mack","the-bulldog-mack-268","268","https://seatsinthesun.com/terras/amsterdam/the-bulldog-mack-268/","","",""
"Café Emmelot","cafe-emmelot-269","269","https://seatsinthesun.com/terras/amsterdam/cafe-emmelot-269/","","",""
"Café P96","cafe-p96-270","270","https://seatsinthesun.com/terras/amsterdam/cafe-p96-270/","","",""
"De Duvel","de-duvel-274","274","https://seatsinthesun.com/terras/amsterdam/de-duvel-274/","","",""
"Venezia Del Nord","venezia-del-nord-275","275","https://seatsinthesun.com/terras/amsterdam/venezia-del-nord-275/","","",""
"De Brabantse Aap","de-brabantse-aap-276","276","https://seatsinthesun.com/terras/amsterdam/de-brabantse-aap-276/","","",""
"Rancho","rancho-277","277","https://seatsinthesun.com/terras/amsterdam/rancho-277/","","",""
"De Heeren Van Aemstel","de-heeren-van-aemstel-278","278","https://seatsinthesun.com/terras/amsterdam/de-heeren-van-aemstel-278/","","",""
"Coco's Outback","cocos-outback-279","279","https://seatsinthesun.com/terras/amsterdam/cocos-outback-279/","","",""
"The Grasshopper","the-grasshopper-280","280","https://seatsinthesun.com/terras/amsterdam/the-grasshopper-280/","","",""
"Scheltema","scheltema-281","281","https://seatsinthesun.com/terras/amsterdam/scheltema-281/","","",""
"Amstelhaven","amstelhaven-282","282","https://seatsinthesun.com/terras/amsterdam/amstelhaven-282/","","",""
"Euro Pub","euro-pub-283","283","https://seatsinthesun.com/terras/amsterdam/euro-pub-283/","","",""
"Broodjeszaak De Nieuwe RAI","broodjeszaak-de-nieuwe-rai-284","284","https://seatsinthesun.com/terras/amsterdam/broodjeszaak-de-nieuwe-rai-284/","","",""
"Rosarium","rosarium-286","286","https://seatsinthesun.com/terras/amsterdam/rosarium-286/","","",""
"Minigolf Amstelpark","minigolf-amstelpark-287","287","https://seatsinthesun.com/terras/amsterdam/minigolf-amstelpark-287/","","",""
"De Veranda","de-veranda-288","288","https://seatsinthesun.com/terras/amsterdam/de-veranda-288/","","",""
"Het Bosch Waterfront Kitchen","het-bosch-waterfront-kitchen-289","289","https://seatsinthesun.com/terras/amsterdam/het-bosch-waterfront-kitchen-289/","","",""
"Meerzicht Farm","meerzicht-farm-290","290","https://seatsinthesun.com/terras/amsterdam/meerzicht-farm-290/","","",""
"Nawaab","nawaab-291","291","https://seatsinthesun.com/terras/amsterdam/nawaab-291/","","",""
"Daalder Atelier","daalder-atelier-292","292","https://seatsinthesun.com/terras/amsterdam/daalder-atelier-292/","","",""
"The Bulldog Palace","the-bulldog-palace-294","294","https://seatsinthesun.com/terras/amsterdam/the-bulldog-palace-294/","","",""
"Café restaurant van Kerkwijk","cafe-restaurant-van-kerkwijk-296","296","https://seatsinthesun.com/terras/amsterdam/cafe-restaurant-van-kerkwijk-296/","","",""
"Dopey's Elixer","dopeys-elixer-297","297","https://seatsinthesun.com/terras/amsterdam/dopeys-elixer-297/","","",""
"Café Zomerlust","cafe-zomerlust-298","298","https://seatsinthesun.com/terras/amsterdam/cafe-zomerlust-298/","","",""
"Le 4 Stagioni","le-4-stagioni-299","299","https://seatsinthesun.com/terras/amsterdam/le-4-stagioni-299/","","",""
"Visaandeschelde","visaandeschelde-300","300","https://seatsinthesun.com/terras/amsterdam/visaandeschelde-300/","","",""
