id,name,lat,lng,city_slug,category
"139","FC Hyena","52.3833861","4.929057999999999","amsterdam","restaurant_and_bar"
"5175","Cafe de schoof","51.9823151","5.9041243","arnhem","restaurant_and_bar"
"3660","Café Waterlooplein 77","52.3683642","4.9062994","amsterdam","restaurant"
"1341","De Stadsherberg","51.69870400000001","5.971969","gennep","restaurant"
"3412","Café Sportpark","52.37472409999999","4.8577004","amsterdam","restaurant"
"2793","Rijke & de Wit","51.9122207","4.4554489","rotterdam","restaurant_and_bar"
"1399","Lovano Kitchen and Bar","51.42217759999999","5.368370599999999","veldhoven","restaurant_and_bar"
"4216","Strandpaviljoen Paal 9","53.0211712","4.7111679","den-hoorn-texel","restaurant"
"2110","Fellini City Lounge","53.1999587","5.7930861","leeuwarden","restaurant"
"3120","Boon Barista's","50.9499509","5.9082435","oirsbeek","restaurant"
"71","Geniet aan de Amstel","52.2328021","4.832239","uithoorn","restaurant"
"785","Cantine de Caron","52.3863436","4.872816699999999","amsterdam","restaurant"
"1306","De Brouwer","51.464126","5.794175099999999","deurne","bar"
"2574","eetcafe `t elfde gebod","51.5551824","5.0890132","tilburg","restaurant"
"4027","Grandcafé Wijntje","52.1864557","5.6076732","voorthuizen","restaurant"
"2112","Effe Anders","52.50898919999999","4.949341799999999","purmerend","restaurant"
"438","Café De Oude Schaeper","52.3742635","4.8740502","amsterdam","restaurant_and_bar"
"1596","Brasserie De Boerderij","51.9946282","5.899375099999999","arnhem","restaurant"
"2995","De Betere Tijden","53.2171306","6.568433699999999","groningen","restaurant"
"6596","Harbour Club","50.8554082","5.6917994","maastricht","restaurant"
"505","Venster 33","52.3564875","4.8924729","amsterdam","restaurant_and_bar"
"696","SOTTO Pizza Kadijksplein","52.37","4.911944399999999","amsterdam","restaurant"
"4857","Eetcafé-Restaurant-Zalen De Witte Leeuw","51.696264","4.874867","raamsdonksveer","restaurant"
"1645","Ristorante La Scala","52.1559944","5.389187299999999","amersfoort","restaurant"
"4112","ZanziBar","51.4984134","3.6105574","middelburg","restaurant_and_bar"
"8035","Restaurant Oniria & Cocktail Bar","51.9180556","4.3975","schiedam","restaurant_and_bar"
"5277","By Rem","52.0812676","4.2925317","den-haag","restaurant"
"2526","Gastropub Van Kinsbergen","52.08196","4.294303","den-haag","restaurant_and_bar"
"469","Brasserie Nel","52.3622075","4.8966932","amsterdam","restaurant"
"3945","The Bierelier","52.0838408","4.3312062","den-haag","restaurant"
"2485","Het Stadscafé","52.215142","5.9591509","apeldoorn","restaurant_and_bar"
"3887","Het Rieten Dak","52.0245476","4.374241799999999","delft","restaurant"
"6854","Strand Zomer","52.1313438","4.7748842","nieuwkoop","restaurant"
"1265","Stadscafé de Basiliek Hengelo","52.2655288","6.793406099999999","hengelo","restaurant"
"957","ARIE","52.3566797","4.8904842","amsterdam","restaurant_and_bar"
"6517","fumi","52.3183478","4.875326699999999","amstelveen","restaurant"
"953","Boothuis","52.3603226","4.8158353","amsterdam","restaurant"
